fly,treatment,trial,iteration,body_length,limb_length,L1_swing_start,L1_stance_start,L1_swing,L1_stance,L1_period,L1_duty_factor,L1_step_length,L1_pull_back,L1_stride_length,L1_stride_speed,L1_AEP,L1_PEP,R1_swing_start,R1_stance_start,R1_swing,R1_stance,R1_period,R1_duty_factor,R1_step_length,R1_pull_back,R1_stride_length,R1_stride_speed,R1_AEP,R1_PEP,L2_swing_start,L2_stance_start,L2_swing,L2_stance,L2_period,L2_duty_factor,L2_step_length,L2_pull_back,L2_stride_length,L2_stride_speed,L2_AEP,L2_PEP,R2_swing_start,R2_stance_start,R2_swing,R2_stance,R2_period,R2_duty_factor,R2_step_length,R2_pull_back,R2_stride_length,R2_stride_speed,R2_AEP,R2_PEP,L3_swing_start,L3_stance_start,L3_swing,L3_stance,L3_period,L3_duty_factor,L3_step_length,L3_pull_back,L3_stride_length,L3_stride_speed,L3_AEP,L3_PEP,R3_swing_start,R3_stance_start,R3_swing,R3_stance,R3_period,R3_duty_factor,R3_step_length,R3_pull_back,R3_stride_length,R3_stride_speed,R3_AEP,R3_PEP
CA60,g60,2_00-01-12,3,3.1511,0.0136862937242868,61.0,,,,,,,,,,,"(1273.75, 947.25)",,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,"(1034.5, 814.25)",64.0,,,,,,,,,,,"(1324.75, 742.5)",51.0,55.0,0.0166666666666666,0.0125,0.0291666666666666,0.4285714285714286,0.2160133977367833,0.0,0.1254765098401357,12.524847436437016,"(1123.75, 680.0)","(1118.25, 665.0)"
CA60,g60,2_00-01-12,3,3.1511,0.0136862937242868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,"(1123.75, 680.0)"
CA62,g60,1_00-00-10,3,2.8657,0.0128930278373364,19.0,24.0,0.0208333333333333,0.0541666666666666,0.075,0.7222222222222223,1.6682662835978244,0.0,1.5101325197124802,23.09885087008397,"(653.75, 827.75)","(731.25, 926.75)",8.0,14.0,0.025,0.0083333333333333,0.0333333333333333,0.25,2.154522825504173,0.169471812387974,0.220165961722274,18.8169246505062,"(864.25, 974.0)","(853.25, 1136.0)",9.0,14.0,0.0208333333333333,0.075,0.0958333333333333,0.7826086956521738,1.107308265405574,0.0,1.5936165528171922,22.73108388611104,"(551.5, 994.75)","(601.25, 1061.75)",16.0,22.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,2.2000546446253355,0.0,1.562477558296415,23.57945007268233,"(843.75, 1045.5)","(848.0, 1211.25)",25.0,32.0,0.0291666666666666,0.0375,0.0666666666666666,0.5625,1.3374906186118694,0.0640665940273313,1.5071383024856997,22.394924958667644,"(589.5, 1050.0)","(600.0, 1150.25)",9.0,14.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.2971436197905746,0.0,1.2771426689574712,18.79422633888033,"(759.5, 1213.0)","(690.5, 1282.25)"
CA62,g60,1_00-00-10,3,2.8657,0.0128930278373364,37.0,43.0,0.025,0.0375,0.0625,0.6,1.5101325197124802,0.0,1.5891288174658298,26.33098629367429,"(629.75, 716.5)","(653.75, 827.75)",16.0,18.0,0.0083333333333333,0.025,0.0333333333333333,0.75,0.2549101750898724,0.0,1.8899608848132428,22.05694378674117,"(847.75, 975.75)","(863.5, 986.75)",32.0,37.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.5936165528171922,0.0,1.945262225677843,24.00219180100113,"(539.5, 875.25)","(551.5, 994.75)",29.0,33.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.562477558296415,0.0,0.7223138430280548,21.654454915512986,"(842.75, 927.75)","(843.75, 1045.5)",41.0,47.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.4790921792268787,0.0,1.332730813759498,27.37538527938748,"(601.0, 937.0)","(594.0, 1048.25)",22.0,27.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.2771426689574712,0.0769428658370676,1.0631956263505054,26.97403860153048,"(759.75, 1116.75)","(759.5, 1213.0)"
CA62,g60,1_00-00-10,3,2.8657,0.0128930278373364,52.0,,,,,,,,,,,"(629.75, 716.5)",24.0,29.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.8899608848132428,0.2388875280623964,1.7816155622186274,22.06557399908684,"(840.5, 833.5)","(847.75, 975.75)",46.0,51.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.945262225677843,0.0,0.987875706362165,27.116682579441107,"(567.0, 731.25)","(539.5, 875.25)",41.0,44.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,0.7223138430280548,0.0,1.7489419814730822,27.37538527938748,"(847.25, 873.5)","(842.75, 927.75)",54.0,,,,,,,,,,,"(601.0, 937.0)",35.0,40.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.1399446944081248,0.0,1.632248487430921,22.074445398965107,"(764.25, 1036.75)","(759.0, 1122.5)"
CA62,g60,1_00-00-10,3,2.8657,0.0128930278373364,,,,,,,,,,,,,38.0,50.0,0.05,0.0375,0.0875,0.4285714285714286,1.993687577703612,0.0,1.323413467532708,28.473917156323864,"(832.0, 699.5)","(832.75, 849.75)",60.0,,,,,,,,,,,"(567.0, 731.25)",54.0,,,,,,,,,,,"(847.25, 873.5)",,,,,,,,,,,,,48.0,52.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.632248487430921,0.0,1.0462784766996236,28.50061846958868,"(766.0, 913.75)","(764.25, 1036.75)"
CA62,g60,1_00-00-10,3,2.8657,0.0128930278373364,,,,,,,,,,,,,59.0,,,,,,,,,,,"(832.0, 699.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0,,,,,,,,,,,"(766.0, 913.75)"
CA62,g60,1_00-01-02,3,2.8657,0.0128930278373364,6.0,11.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.7618253160817132,0.0,0.6776224713164111,19.62784155990282,"(418.5, 1004.5)","(324.5, 1098.0)",11.0,19.0,0.0333333333333333,0.0208333333333333,0.0541666666666666,0.3846153846153846,1.38750033325884,0.0,1.6977680009496623,27.593680800094383,"(603.25, 1039.75)","(539.25, 1122.25)",5.0,7.0,0.0083333333333333,0.0166666666666666,0.025,0.6666666666666666,0.1470764274554347,0.0,2.073134640176374,22.108438544099567,"(301.0, 1254.5)","(297.5, 1244.0)",6.0,11.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.418933281134697,0.0,1.4880195724865397,19.3185169306428,"(607.5, 1208.25)","(568.75, 1307.75)",5.0,10.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,0.977515893163817,0.0,1.509941856388706,18.11800759375645,"(375.0, 1301.25)","(354.0, 1371.75)",13.0,17.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.3628378656340712,0.0,1.7657454906245251,29.47645371110813,"(555.25, 1259.5)","(516.0, 1354.25)"
CA62,g60,1_00-01-02,3,2.8657,0.0128930278373364,18.0,23.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,0.6776224713164111,0.0,1.7040942743553484,25.51940145356275,"(386.25, 965.0)","(418.5, 1004.5)",24.0,30.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,1.6977680009496623,0.0,2.2016720518124595,25.07740924728462,"(556.75, 920.75)","(603.25, 1039.75)",11.0,16.0,0.0208333333333333,0.0541666666666666,0.075,0.7222222222222223,2.073134640176374,0.0,0.5410566419402207,24.219229105142823,"(344.75, 1104.75)","(301.0, 1254.5)",19.0,23.0,0.0166666666666666,0.0333333333333333,0.05,0.6666666666666666,1.4880195724865397,0.0,1.787216046885674,27.172243553224654,"(620.25, 1097.0)","(607.5, 1208.25)",18.0,24.0,0.025,0.0541666666666666,0.0791666666666666,0.6842105263157895,1.509941856388706,0.0,0.8114744662845609,25.83976241024383,"(402.5, 1191.0)","(375.0, 1301.25)",25.0,31.0,0.025,0.0375,0.0625,0.6,1.7657454906245251,0.0,1.4475935608425754,25.638031737400567,"(570.5, 1127.5)","(555.25, 1259.5)"
CA62,g60,1_00-01-02,3,2.8657,0.0128930278373364,33.0,,,,,,,,,,,"(386.25, 965.0)",38.0,,,,,,,,,,,"(556.75, 920.75)",29.0,33.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,0.5410566419402207,0.0,1.3070956410582977,27.007405168882507,"(321.25, 1071.5)","(344.75, 1104.75)",31.0,,,,,,,,,,,"(620.25, 1097.0)",37.0,,,,,,,,,,,"(402.5, 1191.0)",40.0,,,,,,,,,,,"(570.5, 1127.5)"
CA62,g60,1_00-01-02,3,2.8657,0.0128930278373364,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,"(321.25, 1071.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA62,g60,1_00-00-42,3,2.8657,0.0128930278373364,15.0,20.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,1.5188889157109238,0.0,1.4190210837631927,24.85350659163868,"(721.25, 1269.25)","(742.5, 1157.25)",19.0,25.0,0.025,0.0458333333333333,0.0708333333333333,0.6470588235294117,1.7566631638696366,0.0,1.943019325020921,26.52238867821568,"(522.5, 1230.5)","(571.25, 1108.0)",11.0,15.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,0.7830785983599593,0.0,1.2230767056968057,22.253684663996705,"(821.0, 1121.25)","(830.5, 1063.25)",14.0,18.0,0.0166666666666666,0.05,0.0666666666666666,0.75,1.670272733790764,0.0,1.8656101424815432,24.399973972191,"(548.75, 1059.25)","(576.5, 937.0)",4.0,8.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,0.8042509516792747,0.0,1.417726457934381,21.243189900556715,"(844.5, 933.5)","(879.75, 884.5)",6.0,13.0,0.0291666666666666,0.0375,0.0666666666666666,0.5625,1.3690256581403546,0.0,1.813681630446006,19.788130679458845,"(663.0, 901.5)","(702.75, 806.75)"
CA62,g60,1_00-00-42,3,2.8657,0.0128930278373364,31.0,36.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.4190210837631927,0.0,1.5621458449484154,27.64662260179448,"(722.0, 1375.75)","(721.25, 1269.25)",36.0,42.0,0.025,0.0375,0.0625,0.6,1.943019325020921,0.0,2.068049623548489,28.464650583120136,"(509.5, 1375.75)","(522.5, 1230.5)",26.0,30.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.2230767056968057,0.0,1.3158275505061072,26.579860843853147,"(811.0, 1212.5)","(821.0, 1121.25)",30.0,34.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.8656101424815432,0.073129398190427,2.062916922499092,27.30152639409137,"(495.5, 1188.75)","(548.75, 1059.25)",18.0,23.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.417726457934381,0.0,1.4136785065034163,24.626786390625654,"(793.25, 1026.75)","(844.5, 933.5)",22.0,29.0,0.0291666666666666,0.0416666666666666,0.0708333333333333,0.5882352941176471,1.813681630446006,0.0,1.7075803982722075,26.82548500271324,"(629.75, 1033.5)","(663.0, 901.5)"
CA62,g60,1_00-00-42,3,2.8657,0.0128930278373364,46.0,,,,,,,,,,,"(722.0, 1375.75)",51.0,,,,,,,,,,,"(509.5, 1375.75)",39.0,43.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.3158275505061072,0.0,1.1588652437225946,31.362443018377245,"(801.0, 1310.75)","(811.0, 1212.5)",45.0,,,,,,,,,,,"(498.25, 1184.0)",33.0,38.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.4136785065034163,0.0,1.8230265486466752,28.12761344897347,"(746.0, 1121.75)","(793.25, 1026.75)",39.0,44.0,0.0208333333333333,0.025,0.0458333333333333,0.5454545454545455,1.7075803982722075,0.0,1.7606310143591068,28.49021409417355,"(584.75, 1153.5)","(629.75, 1033.5)"
CA62,g60,1_00-00-42,3,2.8657,0.0128930278373364,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,"(801.0, 1310.75)",,,,,,,,,,,,,47.0,,,,,,,,,,,"(746.0, 1121.75)",50.0,,,,,,,,,,,"(584.75, 1153.5)"
CA62,g60,3_00-00-56,3,2.8657,0.0128930278373364,0.0,5.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.961328249258476,0.0,1.3732728299183383,35.257612666042256,"(376.75, 971.75)","(305.5, 842.0)",6.0,11.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.648140050518553,0.0,1.3343407955970212,27.174023465984785,"(170.0, 1038.25)","(137.25, 918.25)",9.0,13.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.759820755481685,0.0,1.3092503709907992,26.250613612062804,"(433.25, 907.75)","(403.75, 778.25)",0.0,4.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.6461549167607166,0.0,1.4054434556143718,35.257612666042256,"(105.25, 821.75)","(75.0, 701.25)",0.0,7.0,0.0291666666666666,0.0291666666666666,0.0583333333333333,0.5,1.7001759077863705,0.0,1.558688964788972,35.257612666042256,"(330.75, 721.5)","(321.75, 593.5)",4.0,12.0,0.0333333333333333,0.0375,0.0708333333333333,0.5294117647058824,1.8400926941551965,0.0,1.2308207167000762,29.42220100894259,"(191.0, 783.25)","(143.5, 652.75)"
CA62,g60,3_00-00-56,3,2.8657,0.0128930278373364,14.0,19.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.3732728299183383,0.0,1.7481757450327782,25.975667421467698,"(409.75, 1070.0)","(376.75, 971.75)",20.0,24.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.3343407955970212,0.0,1.5672257125383402,28.663942024724253,"(189.75, 1137.0)","(170.0, 1038.25)",24.0,28.0,0.0166666666666666,0.025,0.0416666666666666,0.6000000000000001,1.3092503709907992,0.0,1.3346162433394873,28.96444073474404,"(468.0, 1000.25)","(433.25, 907.75)",14.0,18.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.4054434556143718,0.1304964980720862,1.4960560238808034,25.187497489313422,"(116.25, 927.25)","(105.25, 821.75)",14.0,20.0,0.025,0.0291666666666666,0.0541666666666666,0.5384615384615384,1.558688964788972,0.0,1.4761168986154296,25.187497489313422,"(367.5, 833.25)","(330.75, 721.5)",21.0,25.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.2308207167000762,0.0,1.8456091635818404,29.417283480574167,"(220.75, 871.25)","(191.0, 783.25)"
CA62,g60,3_00-00-56,3,2.8657,0.0128930278373364,29.0,34.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.7481757450327782,0.0,1.2292150068009433,28.55728123541451,"(435.0, 1199.5)","(409.75, 1070.0)",35.0,39.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.5672257125383402,0.0,2.025365621027816,27.89562253956517,"(192.5, 1255.25)","(189.75, 1137.0)",34.0,40.0,0.025,0.0333333333333333,0.0583333333333333,0.5714285714285714,1.3346162433394873,0.0,1.8289228515867824,27.523730252753715,"(461.25, 1100.75)","(468.0, 1000.25)",27.0,30.0,0.0125,0.0458333333333333,0.0583333333333333,0.7857142857142857,1.598183945503681,0.1126242510487305,1.8866735829970591,28.960521698244992,"(147.5, 1035.75)","(120.25, 918.25)",27.0,33.0,0.025,0.0375,0.0625,0.6,1.4761168986154296,0.0960618611886231,1.5916585914064347,28.841354418745247,"(377.0, 944.25)","(367.5, 833.25)",34.0,39.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.8456091635818404,0.1326646393937157,1.7030292977650432,26.727407497848827,"(260.5, 1004.75)","(220.75, 871.25)"
CA62,g60,3_00-00-56,3,2.8657,0.0128930278373364,42.0,46.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.2292150068009433,0.0,1.8927471305904044,33.76024353566901,"(437.0, 1292.25)","(435.0, 1199.5)",48.0,53.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,2.025365621027816,0.0,2.1987369453402,36.22922280116029,"(219.25, 1405.75)","(192.5, 1255.25)",48.0,53.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,1.8289228515867824,0.0,1.482292254601879,32.95184758508366,"(486.25, 1236.5)","(461.25, 1100.75)",41.0,45.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.879343069486277,0.0,2.2474961654272607,32.04533591603682,"(161.0, 1177.5)","(156.0, 1035.75)",42.0,48.0,0.025,0.0125,0.0375,0.3333333333333333,1.4957039364793376,0.0,1.6153213156946014,29.369542140771603,"(382.5, 1064.25)","(377.0, 951.5)",46.0,53.0,0.0291666666666666,0.0208333333333333,0.05,0.4166666666666666,1.833967421855416,0.0,2.084317376648625,34.903899628734045,"(232.75, 1130.25)","(261.0, 994.75)"
CA62,g60,3_00-00-56,3,2.8657,0.0128930278373364,55.0,60.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.8927471305904044,0.0,1.5608526780856162,28.032755632555705,"(491.0, 1424.5)","(437.0, 1292.25)",62.0,,,,,,,,,,,"(219.25, 1405.75)",64.0,,,,,,,,,,,"(486.25, 1236.5)",54.0,58.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,2.2474961654272607,0.1002537752339375,2.308932588182205,31.981791986972816,"(172.25, 1346.75)","(161.0, 1177.5)",51.0,62.0,0.0458333333333333,0.0375,0.0833333333333333,0.45,1.6153213156946014,0.0,1.5604464426263591,30.42348274170217,"(401.0, 1184.75)","(382.5, 1064.25)",58.0,67.0,0.0375,0.025,0.0625,0.4,2.084317376648625,0.2788193601288814,1.7159441386738965,28.94091360333626,"(268.25, 1283.5)","(232.75, 1130.25)"
CA62,g60,3_00-00-56,3,2.8657,0.0128930278373364,70.0,,,,,,,,,,,"(491.0, 1424.5)",,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,,,"(179.75, 1345.75)",71.0,,,,,,,,,,,"(401.0, 1184.75)",73.0,,,,,,,,,,,"(247.75, 1288.25)"
CA62,g60,3_00-00-14,3,2.8657,0.0128930278373364,14.0,23.0,0.0375,0.05,0.0875,0.5714285714285715,1.6225881302269938,0.0,1.2139041411200455,15.112253141556408,"(578.75, 1127.25)","(686.25, 1186.0)",7.0,14.0,0.0291666666666666,0.05,0.0791666666666666,0.6315789473684211,2.359201071891555,0.0,1.3422094183579478,16.349881449201092,"(773.0, 1141.25)","(844.25, 1304.5)",8.0,15.0,0.0291666666666666,0.1458333333333333,0.175,0.8333333333333335,1.3431403401549606,0.0,2.5043116818314,19.09085794304672,"(525.75, 1256.5)","(618.5, 1297.5)",19.0,24.0,0.0208333333333333,0.0916666666666666,0.1125,0.8148148148148148,2.603649718164996,0.0,1.4673951501906064,19.437039918857515,"(801.25, 1176.25)","(882.5, 1355.25)",33.0,37.0,0.0166666666666666,0.0208333333333333,0.0375,0.5555555555555556,1.2459387544066052,0.0,1.5832260120360455,23.461765435129298,"(632.25, 1351.5)","(567.25, 1419.5)",13.0,17.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.321459534983638,0.0,1.1923378023408449,18.64989326226902,"(803.25, 1415.5)","(761.25, 1506.0)"
CA62,g60,3_00-00-14,3,2.8657,0.0128930278373364,35.0,42.0,0.0291666666666666,0.0666666666666666,0.0958333333333333,0.6956521739130435,1.2139041411200455,0.0,2.052792908097073,27.407370350943744,"(505.25, 1072.5)","(578.75, 1127.25)",26.0,32.0,0.025,0.075,0.1,0.7499999999999999,1.3422094183579478,0.0,2.0309759157105645,20.48825948188665,"(703.5, 1067.5)","(773.0, 1141.25)",50.0,56.0,0.025,0.0583333333333333,0.0833333333333333,0.7000000000000001,2.5043116818314,0.0,1.2367706262505724,26.890556978109675,"(443.5, 1086.25)","(525.75, 1256.5)",46.0,50.0,0.0166666666666666,0.0458333333333333,0.0625,0.7333333333333333,1.4673951501906064,0.0,1.9117024304070749,26.4213172562146,"(793.25, 1065.75)","(801.25, 1176.25)",42.0,51.0,0.0375,0.0416666666666666,0.0791666666666666,0.5263157894736842,1.5832260120360455,0.0,1.6336156776958075,26.72945557686687,"(594.75, 1238.0)","(632.25, 1351.5)",26.0,30.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.1923378023408449,0.0,1.5560746994780383,16.140545015929007,"(801.25, 1325.5)","(803.25, 1415.5)"
CA62,g60,3_00-00-14,3,2.8657,0.0128930278373364,58.0,63.0,0.0208333333333333,0.0541666666666666,0.075,0.7222222222222223,2.052792908097073,0.0,1.6048240214695886,22.673555930351508,"(466.25, 922.5)","(505.25, 1072.5)",50.0,56.0,0.025,0.0458333333333333,0.0708333333333333,0.6470588235294117,2.0309759157105645,0.0,1.9510322726816167,28.60751645240703,"(708.75, 914.25)","(703.5, 1067.5)",70.0,75.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.2367706262505724,0.0,1.4720390711235458,27.263711594115986,"(420.5, 995.75)","(443.5, 1086.25)",61.0,66.0,0.0208333333333333,0.0458333333333333,0.0666666666666666,0.6875,1.9117024304070749,0.0,1.4576831399900736,24.423158534839683,"(723.75, 939.25)","(793.25, 1065.75)",61.0,68.0,0.0291666666666666,0.0416666666666666,0.0708333333333333,0.5882352941176471,1.6336156776958075,0.0,1.8498410076594125,24.02858492125869,"(557.25, 1120.5)","(594.75, 1238.0)",40.0,47.0,0.0291666666666666,0.0375,0.0666666666666666,0.5625,1.5560746994780383,0.0,1.7046188702407628,27.59583579237906,"(709.0, 1252.75)","(801.25, 1325.5)"
CA62,g60,3_00-00-14,3,2.8657,0.0128930278373364,76.0,,,,,,,,,,,"(466.25, 922.5)",67.0,73.0,0.025,0.0458333333333333,0.0708333333333333,0.6470588235294117,1.9510322726816167,0.0,1.4921316535670857,25.50594056649412,"(621.25, 795.75)","(708.75, 914.25)",85.0,,,,,,,,,,,"(420.5, 995.75)",77.0,,,,,,,,,,,"(723.75, 939.25)",78.0,,,,,,,,,,,"(557.25, 1120.5)",56.0,61.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.7046188702407628,0.0,1.6084000377222771,25.85871720326456,"(719.75, 1124.5)","(709.0, 1252.75)"
CA62,g60,3_00-00-14,3,2.8657,0.0128930278373364,,,,,,,,,,,,,84.0,,,,,,,,,,,"(621.25, 795.75)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,75.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.6084000377222771,0.0046827891512554,1.147856601591376,27.263711594115986,"(682.25, 1009.0)","(719.75, 1124.5)"
CA62,g60,3_00-00-14,3,2.8657,0.0128930278373364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,,,"(682.5, 1008.75)"
CA62,glass,2_00-02-09,4,2.8657,0.0128930278373364,1.0,7.0,0.025,0.0375,0.0625,0.6,1.6255402114785489,0.0,1.809799869692152,32.12870093188363,"(883.5, 401.5)","(995.0, 378.75)",7.0,12.0,0.0208333333333333,0.0375,0.0583333333333333,0.6428571428571428,1.769675510005937,0.0,1.6749525955565443,33.260346611349185,"(770.0, 216.25)","(889.75, 184.5)",10.0,15.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,2.0348124722167658,0.0,1.4510053046402838,35.241995633789834,"(919.75, 456.25)","(1058.5, 424.0)",1.0,5.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,2.115271447740311,0.0,1.6410005527095828,32.07453479755694,"(915.0, 113.0)","(1051.25, 55.0)",1.0,9.0,0.0333333333333333,0.025,0.0583333333333333,0.4285714285714286,1.7038045786493907,0.0557828756753487,1.8177766913108708,32.07453479755694,"(1105.25, 324.0)","(1224.5, 321.5)",8.0,13.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.8266963259985785,0.0,1.9964548104836728,34.50655481558377,"(1024.5, 191.5)","(1148.75, 161.25)"
CA62,glass,2_00-02-09,4,2.8657,0.0128930278373364,16.0,21.0,0.0208333333333333,0.0291666666666666,0.05,0.5833333333333333,1.809799869692152,0.0,1.7531351932459214,39.19275406241773,"(759.5, 427.5)","(883.5, 401.5)",21.0,26.0,0.0208333333333333,0.0333333333333333,0.0541666666666666,0.6153846153846153,1.6749525955565443,0.0,1.9212992503737136,42.768307225069954,"(653.0, 208.5)","(770.0, 216.25)",22.0,26.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.4510053046402838,0.0,1.6942757166910667,40.93630094103814,"(818.25, 460.25)","(919.75, 456.25)",15.0,19.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,1.6410005527095828,0.0,1.7267931328721418,38.71350937891399,"(806.5, 150.75)","(915.0, 113.0)",15.0,21.0,0.025,0.0208333333333333,0.0458333333333333,0.4545454545454545,1.7824245491005923,0.0,1.898674223172191,38.6351508187243,"(980.0, 346.5)","(1102.25, 321.5)",21.0,27.0,0.025,0.0166666666666666,0.0416666666666666,0.4,1.9964548104836728,0.0,1.7954275746051165,40.926414470403714,"(886.0, 210.25)","(1024.5, 191.5)"
CA62,glass,2_00-02-09,4,2.8657,0.0128930278373364,28.0,,,,,,,,,,,"(759.5, 427.5)",34.0,,,,,,,,,,,"(653.0, 208.5)",35.0,,,,,,,,,,,"(818.25, 460.25)",28.0,,,,,,,,,,,"(806.5, 150.75)",26.0,,,,,,,,,,,"(980.0, 346.5)",31.0,,,,,,,,,,,"(886.0, 210.25)"
CA62,glass,1_00-00-06,4,2.8657,0.0128930278373364,5.0,9.0,0.0166666666666666,0.0541666666666666,0.0708333333333333,0.7647058823529412,1.084190487091565,0.0,1.327046877979296,19.725170189386382,"(503.25, 362.25)","(573.75, 333.0)",15.0,19.0,0.0166666666666666,0.0416666666666666,0.0583333333333333,0.7142857142857142,1.403903036062515,0.0,1.1011328912865084,19.736047322680648,"(472.75, 161.0)","(568.5, 136.5)",18.0,21.0,0.0125,0.0416666666666666,0.0541666666666666,0.7692307692307692,1.3981063340047288,0.0,1.1268075201218488,20.09030521085248,"(583.5, 470.5)","(672.75, 429.0)",9.0,13.0,0.0166666666666666,0.0375,0.0541666666666666,0.6923076923076923,0.974086478860084,0.0,1.3515654857130353,18.345869715560603,"(680.0, 122.25)","(737.25, 84.5)",10.0,15.0,0.0208333333333333,0.0416666666666666,0.0625,0.6666666666666666,1.292559977969695,0.0,1.204442643085034,18.171161649781208,"(761.0, 415.0)","(847.5, 386.75)",6.0,9.0,0.0125,0.0333333333333333,0.0458333333333333,0.7272727272727273,0.617550679707111,0.0,0.9796245897822246,22.04665022666229,"(815.75, 198.25)","(858.0, 208.5)"
